Pgof,Ped,Cgof_1,Cgof_2,Ced_1,Ced_2,Zgof_1,Zgof_2,Zed_1,Zed_2,n1,n2,n3,rho,X1_p,X2_q
0.16928,0.1511,0.40634,0.51055,0.31456,0.28456,0.67564,0.73829,0.29703,0.24226,10.0,10.0,10.0,0.32,0.1,0.9
0.16895,0.16048,0.40668,0.51192,0.32803,0.2977,0.67747,0.73976,0.31399,0.24914,10.0,10.0,10.0,0.33,0.1,0.9
0.16846,0.16899,0.54197,0.51217,0.34041,0.30954,0.67704,0.75054,0.33092,0.26353,10.0,10.0,10.0,0.34,0.1,0.9
0.31598,0.17447,0.53976,0.51086,0.35145,0.31744,0.67491,0.81628,0.34536,0.27415,10.0,10.0,10.0,0.35000000000000003,0.1,0.9
0.3196,0.1902,0.54352,0.51088,0.36798,0.34022,0.82858,0.82058,0.3658,0.29535,10.0,10.0,10.0,0.36,0.1,0.9
0.31584,0.19715,0.54422,0.51594,0.3802,0.35065,0.8283,0.81971,0.38305,0.3093,10.0,10.0,10.0,0.37,0.1,0.9
0.46817,0.21044,0.54116,0.5217,0.39073,0.36468,0.82699,0.81787,0.39885,0.32166,10.0,10.0,10.0,0.38,0.1,0.9
0.54572,0.22025,0.61628,0.52031,0.4088,0.38323,0.82618,0.92952,0.41934,0.32868,10.0,10.0,10.0,0.39,0.1,0.9
0.0465,0.04652,0.04391,0.13569,0.04993,0.09063,0.05203,0.05721,0.05141,0.05334,10.0,20.0,20.0,0.0,0.3,0.8
0.04491,0.04463,0.04431,0.15387,0.05071,0.08775,0.05757,0.06273,0.05137,0.05396,10.0,20.0,20.0,0.01,0.3,0.8
0.0395,0.04369,0.06961,0.13912,0.05222,0.08804,0.0565,0.072,0.05135,0.05503,10.0,20.0,20.0,0.02,0.3,0.8
0.04097,0.04314,0.06852,0.13321,0.05194,0.08694,0.05757,0.08776,0.05248,0.05623,10.0,20.0,20.0,0.03,0.3,0.8
0.04027,0.04354,0.06591,0.13791,0.05309,0.08961,0.04892,0.08433,0.05397,0.06067,10.0,20.0,20.0,0.04,0.3,0.8
0.04071,0.04323,0.06821,0.15431,0.05403,0.08737,0.05086,0.08141,0.05275,0.06067,10.0,20.0,20.0,0.05,0.3,0.8
0.03568,0.04236,0.065,0.20358,0.05551,0.09069,0.05179,0.08093,0.05533,0.06312,10.0,20.0,20.0,0.06,0.3,0.8
0.03337,0.04294,0.06608,0.19903,0.05565,0.09119,0.05068,0.08366,0.05526,0.06527,10.0,20.0,20.0,0.07,0.3,0.8
0.03316,0.04259,0.06531,0.19386,0.05855,0.09456,0.04957,0.08989,0.05802,0.07124,10.0,20.0,20.0,0.08,0.3,0.8
0.03166,0.04351,0.07189,0.24402,0.05968,0.09516,0.05117,0.1056,0.05618,0.07265,10.0,20.0,20.0,0.09,0.3,0.8
